source_name,source_url,reference_date,item_type,name_ko,category,region,address,latitude,longitude,summary,story_use,mission_use,age_tags,keywords,manageNo,parkNm,parkSe,rdnmadr,lnmadr,parkAr,mvmFclty,amsmtFclty,cnvnncFclty,cltrFclty,etcFclty,appnNtfcDate,institutionNm,phoneNumber,referenceDate,insttCode,insttNm
전국도시공원정보표준데이터,https://www.data.go.kr/data/15012890/standard.do,2025-11-05,place,해송공원,어린이공원,부산광역시 사하구,부산광역시 사하구 다대동 113-7,35.06616046,128.9788592,"해송공원은(는) 어린이공원으로, 아이의 생활권 동화 배경으로 사용할 수 있다.",아이의 집 주변 산책·탐험 동화 배경,"공원에서 색깔, 나무, 놀이시설을 찾아보는 관찰 미션",4-7;8-10,공원;어린이공원,26380-00022,해송공원,어린이공원,,부산광역시 사하구 다대동 113-7,2099.7,,,,,,1988-12-17,부산광역시 사하구청,051-220-4522,2025-11-05,3340000,부산광역시 사하구
전국도시공원정보표준데이터,https://www.data.go.kr/data/15012890/standard.do,2023-08-18,place,강덕공원,근린공원,서울특별시 강동구,서울특별시 강동구 강일동 산11-6,37.558585,127.174682,"강덕공원은(는) 근린공원으로, 아이의 생활권 동화 배경으로 사용할 수 있다.",아이의 집 주변 산책·탐험 동화 배경,배드민턴장+체력단련기구,4-7;8-10,공원;근린공원;배드민턴장+체력단련기구,11740-00072,강덕공원,근린공원,,서울특별시 강동구 강일동 산11-6,46699.6,배드민턴장+체력단련기구,,,,,2005-12-29,서울특별시 강동구청,02-3425-6440,2023-08-18,3240000,서울특별시 강동구
전국도시공원정보표준데이터,https://www.data.go.kr/data/15012890/standard.do,2024-08-12,place,훙이,어린이공원,서울특별시 송파구,서울특별시 송파구 송이로17길 48,37.501139,127.1247542,"훙이은(는) 어린이공원으로, 아이의 생활권 동화 배경으로 사용할 수 있다.",아이의 집 주변 산책·탐험 동화 배경,"공원에서 색깔, 나무, 놀이시설을 찾아보는 관찰 미션",4-7;8-10,공원;어린이공원,11710-00120,훙이,어린이공원,서울특별시 송파구 송이로17길 48,서울특별시 송파구 가락본동 14,1500,,,,,,,서울특별시 송파구청,02-2147-3380,2024-08-12,3230000,서울특별시 송파구
전국도시공원정보표준데이터,https://www.data.go.kr/data/15012890/standard.do,2024-08-12,place,늘푸른,소공원,서울특별시 송파구,서울특별시 송파구 마천동 578,37.49861927,127.1557171,"늘푸른은(는) 소공원으로, 아이의 생활권 동화 배경으로 사용할 수 있다.",아이의 집 주변 산책·탐험 동화 배경,"공원에서 색깔, 나무, 놀이시설을 찾아보는 관찰 미션",4-7;8-10,공원;소공원,11710-00122,늘푸른,소공원,,서울특별시 송파구 마천동 578,921,,,,,,,서울특별시 송파구청,02-2147-3380,2024-08-12,3230000,서울특별시 송파구
전국도시공원정보표준데이터,https://www.data.go.kr/data/15012890/standard.do,2024-08-12,place,평화,소공원,서울특별시 송파구,서울특별시 송파구 방이동 42-2,37.516291,127.1119805,"평화은(는) 소공원으로, 아이의 생활권 동화 배경으로 사용할 수 있다.",아이의 집 주변 산책·탐험 동화 배경,"공원에서 색깔, 나무, 놀이시설을 찾아보는 관찰 미션",4-7;8-10,공원;소공원,11710-00123,평화,소공원,,서울특별시 송파구 방이동 42-2,1651.3,,,,,,,서울특별시 송파구청,02-2147-3380,2024-08-12,3230000,서울특별시 송파구
전국도시공원정보표준데이터,https://www.data.go.kr/data/15012890/standard.do,2024-08-12,place,가락1(시영아파트),어린이공원,서울특별시 송파구,서울특별시 송파구 가락동 479,37.49761457,127.1025318,"가락1(시영아파트)은(는) 어린이공원으로, 아이의 생활권 동화 배경으로 사용할 수 있다.",아이의 집 주변 산책·탐험 동화 배경,"공원에서 색깔, 나무, 놀이시설을 찾아보는 관찰 미션",4-7;8-10,공원;어린이공원,11710-00136,가락1(시영아파트),어린이공원,,서울특별시 송파구 가락동 479,1617.7,,,,,,,서울특별시 송파구청,02-2147-3380,2024-08-12,3230000,서울특별시 송파구
전국도시공원정보표준데이터,https://www.data.go.kr/data/15012890/standard.do,2024-08-12,place,잠실주공5단지 근린공원,근린공원,서울특별시 송파구,서울특별시 송파구 잠실동 27 일원,37.512706,127.095491,"잠실주공5단지 근린공원은(는) 근린공원으로, 아이의 생활권 동화 배경으로 사용할 수 있다.",아이의 집 주변 산책·탐험 동화 배경,"공원에서 색깔, 나무, 놀이시설을 찾아보는 관찰 미션",4-7;8-10,공원;근린공원,11710-00134,잠실주공5단지 근린공원,근린공원,,서울특별시 송파구 잠실동 27 일원,10741,,,,,,,서울특별시 송파구청,02-2147-3380,2024-08-12,3230000,서울특별시 송파구
전국도시공원정보표준데이터,https://www.data.go.kr/data/15012890/standard.do,2024-08-12,place,향유(거마재정비),근린공원,서울특별시 송파구,서울특별시 송파구 거여동 200-4 일대,37.494489,127.147614,"향유(거마재정비)은(는) 근린공원으로, 아이의 생활권 동화 배경으로 사용할 수 있다.",아이의 집 주변 산책·탐험 동화 배경,"공원에서 색깔, 나무, 놀이시설을 찾아보는 관찰 미션",4-7;8-10,공원;근린공원,11710-00135,향유(거마재정비),근린공원,,서울특별시 송파구 거여동 200-4 일대,10569,,,,,,,서울특별시 송파구청,02-2147-3380,2024-08-12,3230000,서울특별시 송파구
전국도시공원정보표준데이터,https://www.data.go.kr/data/15012890/standard.do,2024-08-12,place,문이,근린공원,서울특별시 송파구,서울특별시 송파구 문정동 481,37.484857,127.113722,"문이은(는) 근린공원으로, 아이의 생활권 동화 배경으로 사용할 수 있다.",아이의 집 주변 산책·탐험 동화 배경,"공원에서 색깔, 나무, 놀이시설을 찾아보는 관찰 미션",4-7;8-10,공원;근린공원,11710-00129,문이,근린공원,,서울특별시 송파구 문정동 481,20856.2,,,,,,,서울특별시 송파구청,02-2147-3380,2024-08-12,3230000,서울특별시 송파구
전국도시공원정보표준데이터,https://www.data.go.kr/data/15012890/standard.do,2024-08-12,place,위례 근린공원1호,근린공원,서울특별시 송파구,서울특별시 송파구 거여동 491임 일원,37.483179,127.144136,"위례 근린공원1호은(는) 근린공원으로, 아이의 생활권 동화 배경으로 사용할 수 있다.",아이의 집 주변 산책·탐험 동화 배경,"공원에서 색깔, 나무, 놀이시설을 찾아보는 관찰 미션",4-7;8-10,공원;근린공원,11710-00131,위례 근린공원1호,근린공원,,서울특별시 송파구 거여동 491임 일원,200327,,,,,,,서울특별시 송파구청,02-2147-3380,2024-08-12,3230000,서울특별시 송파구
